year;page;title;average_score;votes;price;categories;author;publisher;cover_type;publication_year;num_pages;format;code
2009;9;Antiteza omfalocel gastroschizis - Corneliu Sabetay, Ovidiu Ciobanu;0;0;50;Medicina;Ovidiu Ciobanu, Corneliu Sabetay;AIUS;null;2009;150;null;AIU973-1780-94-8
2009;9;Palatul culturii - Tirgul Mures. The Palace of Culture. A Marosvasarhelyi Kulturpalota;4;2;20;Ghid Turistic;null;ROMGHID;Necartonata;2009;34;235 x 170 x 4 mm;ROM606-92150-1-X
2009;9;Puterea autenticitatii - Mike Robbins;0;0;37.05;Dezvoltare Profesionala;Mike Robbins;AMSTA PUBLISHING;null;2009;224;200 x 130 mm;AMS973-92057-3-0
2009;9;Pr trend. societate si comunicare - Delia Cristina Balaba, Ioan Hosu;0;0;40;Comunicare Publicitate;Delia Cristina Balaba, Ioan Hosu;TRITONIC;null;2009;392;null;TRO973-733-386-5
2009;9;Dupa douazeci de ani de la caderea zidului - Pierre Verluise;0;0;34.68;Istorie Universala;Pierre Verluise;CARTIER;null;2009;240;200 x 140 mm;COD9975-79-597-5
2009;9;Tradare la Kremlin - Leon Berger;5;2;19;Carti thriller, Literatura Universala;Leon Berger;ORIZONTURI;Necartonata;2009;352;200 x 130 mm;ORI973-736-125-7
2009;9;Alfabetul naturii vol. 1: Pasari printre flori - Nicolae Dragos;5;1;10;Practic Pentru Copii, Poezii;Nicolae Dragos;IULIAN CART;Necartonata;2009;128;235 x 165 x 6 mm;IUL973-8910-61-4
2009;9;Sarbatorile de Pasti. Ghid aplicativ - Smaranda-Maria Cioflica, Doina Lacrimioara Gavrila;0;0;68.25;Pedagogie Metodica, Diverse;Doina Lacrimioara Gavrila, Smaranda-Maria Cioflica;EMIA;Necartonata;2009;80;290 x 205 x 6 mm;EMI978-973-753-132-2
2009;9;Copilaria unui razvratit - Arturo Barea;0;0;12.75;Literatura contemporana;Arturo Barea;RAO;null;2009;384;180 x 110 mm;RAO973-103-769-1
2009;9;Cu noi este Dumnezeu - Ambrozie Iurasov;0;0;10;Carte Ortodoxa;Ambrozie Iurasov;EGUMENITA;Necartonata;2009;138;200 x 130;EGU973-8926-92-9*
2009;9;Tratat teoretic si practic de drept comercial vol. IV - Ion Turcu;0;0;113.05;Carte Juridica;Ion Turcu;C.H. BECK;null;2009;912;null;ABE973-115-616-3
2009;9;Vizuina luminata - Max Blecher;0;0;44;Literatura Romana, Literatura clasica;Max Blecher;GRUPUL EDITORIAL ART;Cartonata;2009;160;200 x 130 x 13 mm;ART973-124-359-7
2009;9;Disfunctia erectila - Nicolae Calomfirescu;0;0;40.95;Medicina;Nicolae Calomfirescu;MEDICALA;Necartonata;2009;285;240 x 170 mm;MED973-39-0680-3
2009;9;Tratat de ultrasonografie clinica vol. III fara CD - Radu I. Badea, Petru A. Mircea;0;0;210;Medicina;Petru A. Mircea, Radu I. Badea;MEDICALA;Cartonata;2009;728;260 x 210 mm;MED973-39-1640-7
2009;9;Procesul lui Iisus si antichristul - Joseph si Augustin Lemann;0;0;23.75;Kabala;Joseph Si Augustin Lemann;ANTET REVOLUTION;Necartonata;2009;192;200 x 130 mm;ANT973-636-373-3
2009;9;Frontierele stiintei - Albert de Rochas;0;0;25.65;Paranormal;Albert De Rochas;ANTET REVOLUTION;null;2009;208;200 x 130 mm;ANT973-636-375-7
2009;9;Adevarata poveste a Motanului incaltat;0;0;27.93;Literatura Universala;null;IBU PUBLISHING;Cartonata;2009;30;270 x 240 mm;IBU973-92025-7-9
2009;9;Graiul animalelor. Set 2 carti + CD;5;1;12.21;Povesti, basme, legende;null;ARAMIS;Necartonata;2009;48;260 x 220 x 4 mm;ARA973-679-725-5
2009;9;Omul, o aventura genetica - Spencer Wells;0;0;45;Stiinta si filosofie;Spencer Wells;CD PRESS;null;2009;272;240x170 mm;CDP973-528-012-0
2009;9;Ecouri din Sodoma si Gomora - Adrian Melicovici;0;0;26;Literatura Romana;Adrian Melicovici;INDEPENDENT FILM;Necartonata;2009;248;195 x 130 x 14 mm;IND973-85112-9-1
2009;9;Tratat de microbiologie clinica ed. 3 - Dumitru Buiuc, Marian Negut;0;0;199.5;Medicina;Dumitru Buiuc, Marian Negut;MEDICALA;null;2009;1250;250 x 180 mm;MED973-39-0593-6
2009;9;Praznicele imparatesti. Praznicele Maicii Domnului si minunile lui Iisus Hristos - Sofia Guriotis;3;2;22;Carti Pentru Copii;Sofia Guriotis;EVANGHELISMOS;Necartonata;2009;64;240 x 170 x 5 mm;EVA973-7812-65-0
2009;9;Viata de familie;0;0;15;Carte Ortodoxa;null;SOPHIA;Necartonata;2009;152;200 x 130 x 11 mm;SOP973-136-156-7
2009;9;Dictionar de dreptul proprietatii intelectuale - Nicoleta-Rodica Dominte;0;0;23.655;Carte Juridica;Nicoleta-Rodica Dominte;C.H. BECK;null;2009;208;200 x 130 mm;ABE973-115-638-5
2009;9;Prima mea dezamagire in dragoste - Laura Albulescu;3;1;34;Memorii Jurnal;null;GRUPUL EDITORIAL ART;Necartonata;2009;176;200 x 130 x 10 mm;ART973-124-450-1
2009;10;Apologia plagiatului - Jean-Luc Hennig;0;0;34;Litere Critica Literara;Jean-Luc Hennig;GRUPUL EDITORIAL ART;Necartonata;2009;328;200 x 130 mm;ART973-124-392-4
2009;10;Incepe cu raspunsul - Bob Seelert;0;0;32.034;Dezvoltare Profesionala;Bob Seelert;AMSTA PUBLISHING;null;2009;256;210 x 140 mm;AMS973-92057-4-7
2009;10;Idei creative 33: Un Craciun auriu - Susanne Hoffmann;0;0;11.799;Bricolaj;Susanne Hoffmann;CASA;Necartonata;2009;32;200 x 170 mm;CSE963-92214-3-3
2009;10;Manuscrisul ars - Kathrin Lange;0;0;33.6;Romane de dragoste, Carti romantice;Kathrin Lange;VIVALDI;null;2009;312;null;VIV973-150-031-7
2009;10;Comisia de impaciuire - Daniel Vighi;5;1;12.39;Publicistica;Daniel Vighi;INSTITUTUL EUROPEAN;Necartonata;2009;241;190x120;INE978-973-611-591-2
2009;10;Istoreme - Codrin Liviu Cutitaru;0;0;22.35;Publicistica;Codrin Liviu Cutitaru;INSTITUTUL EUROPEAN;Necartonata;2009;429;190x120;INE978-973-611-594-3
2009;10;Cum am spanzurat-o pe Emma Bovary - Doina Jela;0;0;10.98;Publicistica;Doina Jela;INSTITUTUL EUROPEAN;Necartonata;2009;203;190x120;INE978-973-611-612-4
2009;10;Contabilitatea activitatii de comert exterior - Marius Dumitru Paraschivescu, Lucian Patrascu;0;0;85.5;Contabilitate;Marius Dumitru Paraschivescu, Lucian Patrascu;PRO UNIVERSITARIA;Necartonata;2009;476;240 x 170 mm;PUN978-973-129-373-8
2009;10;Poezii - Otilia Cazimir;4.6;5;7.6;Literatura Romana;Otilia Cazimir;HERRA;Necartonata;2009;96;200 x 130 mm;HRR978-973-1861-07-4
2009;10;Poezii - Elena Farago;5;6;8.55;Literatura Romana;Elena Farago;HERRA;Necartonata;2009;96;200 x 130 mm;HRR973-7923-66-9
2009;10;Invat sa citesc! Bunica - Barbu Stefanescu Delavrancea;5;3;7.6;Practic Pentru Copii;Barbu Stefanescu Delavrancea;GAMA;Necartonata;2009;16;210 x 150 mm;GAM973-149-085-4
2009;10;Invat sa citesc! La scaldat - Ion Creanga;5;2;7.6;Practic Pentru Copii, Povesti, basme, legende;Ion Creanga;GAMA;Necartonata;2009;16;200 x 150 mm;GAM973-149-087-8
2009;10;Printul fericit - Oscar Wilde;5;1;11.16;Literatura Universala;Oscar Wilde;ANDREAS;Necartonata;2013;96;200 x 130 mm;ADR978-606-8271-27-9
2009;10;Invat sa citesc! Gulliver in Lilliput - J. Swift;5;2;7.6;Practic Pentru Copii;J. Swift;GAMA;Necartonata;2009;16;210 x 150 mm;GAM973-149-079-3
2009;10;Invat sa citesc! Bubico... - Ion Luca Caragiale;5;4;7.6;Practic Pentru Copii;Ion Luca Caragiale;GAMA;Necartonata;2009;16;210 x 150 mm;GAM973-149-088-5
2009;10;Invat sa citesc! Vizita... Nivelul 2;4;1;7.6;Practic Pentru Copii;Ion Luca Caragiale;GAMA;Necartonata;2009;16;200 x 150 mm;GAM973-149-077-9
2009;10;Proverbe, zicatori, ghicitori;5;4;7.125;Literatura Romana;null;STEAUA NORDULUI;Necartonata;2011;288;200 x 130 mm;SNO978-606-511-299-5
2009;10;Invat sa citesc! D-l Goe... - Ion Luca Caragiale;4.8;5;7.6;Practic Pentru Copii, Povesti, basme, legende;Ion Luca Caragiale;GAMA;Necartonata;2009;16;210 x 150 mm;GAM973-149-074-8
2009;10;Invat sa citesc! Jack si vrejul de fasole - Joseph Jacobs;5;1;7.6;Practic Pentru Copii;Joseph Jacobs;GAMA;Necartonata;2009;16;210 x 150 mm;GAM973-149-080-9
2009;10;Fram, ursul polar - Cezar Petrescu;5;5;9.5;Literatura Romana;Cezar Petrescu;EDUARD;Necartonata;2018;286;200 x 130 mm;EDU978-606-571-262-1
2009;10;Invat sa citesc! Soldatelul de plumb - H.C. Andersen;4;1;7.6;Povesti, basme, legende, Practic Pentru Copii;Hans Christian Andersen;GAMA;Necartonata;2009;16;210 x 150 mm;GAM973-149-073-1
2009;10;Invat sa citesc! Croitorasul cel viteaz - Fratii Grimm;5;1;7.6;Povesti, basme, legende, Practic Pentru Copii;Fratii Grimm;GAMA;Necartonata;2009;16;210 x 150 mm;GAM973-149-072-4
2009;10;Fabule - Jean de la Fontaine;5;1;7.6;Fabule, Literatura Universala;Jean De La Fontaine;HERRA;Necartonata;2009;96;200 x 130 mm;HRR973-7923-70-7
2009;10;Mica Printesa - Frances H. Burnett;5;3;8.075;Literatura Universala;Frances H. Burnett;TEDIT;null;2009;139;null;TED973-8007-17-8
2009;10;Invat sa citesc! Povestiri de Emil Garleanu;0;0;7.6;Practic Pentru Copii;Emil Garleanu;GAMA;null;2009;16;15x20;GAM973-149-078-6
2009;10;Motanul incaltat - Charles Perrault;5;1;11.16;Literatura Universala;Charles Perrault;ANDREAS;Necartonata;2014;24;300 x 210 mm;ADR978-606-8271-75-0
2009;10;Lecturi educative pentru prescolari - Viorica Preda, Daniela Dosa;0;0;6.5;Literatura Universala;Viorica Preda, Daniela Dosa;TEHNO-ART;Necartonata;2009;48;240 x 170 mm;TEA978-973-1842-60-8
2009;10;Basme si povestiri - Barbu Delavrancea;5;3;8.531;Literatura Romana;Barbu Stefanescu Delavrancea;TEDIT;null;2009;190;200 x 130 mm;TED973-8007-10-0
2009;10;Paraclisele Sfantului Nicolae;0;0;6;Carte Ortodoxa;Autor Anonim;EDITURA SFANTULUI NECTARIE;Necartonata;2009;96;160 x 110 x 5 mm;SFN978-606-92121-2-7
2009;10;Vreau sa desenez animale de la Poli - Daniela Dosa, Adrian Cerchez;0;0;6;Carte Prescolara, Joc;Daniela Dosa, Adrian Cerchez;TEHNO-ART;Necartonata;2009;24;210 x 290 mm;TEA978-973-1842-77-6
2009;10;Familii de animale - Pliant;0;0;9.5;Practic Pentru Copii;null;FLAMINGO;Cartonata;2009;16;100 x 110 mm;FLA978-973-7949-91-2
2009;10;Coloram legume fructe;5;1;7;Carti de colorat, Practic Pentru Copii;Autor Anonim;EDUARD;Necartonata;2009;16;290 x 210 mm;EDU973-1995-17-5
2009;10;Coloram animale domestice;0;0;7;Carti de colorat, Practic Pentru Copii;null;EDUARD;Necartonata;2009;16;300 x 210;EDU973-1995-18-2
2009;10;Coloram animale salbatice;0;0;7;Practic Pentru Copii;null;EDUARD;null;2009;16;29 x 21 cm;EDU973-1995-19-9
2009;10;Opere II: O vietuire cu Stan si Bran. Sonatine - Radu Cosasu;0;0;9.491;Literatura contemporana;Radu Cosasu;POLIROM;Cartonata;2009;528;200 x 130 mm;POL973-46-1374-8
2009;10;Despre legume si fructe - Dosa Daniela;0;0;8;Atlase, enciclopedii copii;Dosa Daniela;TEHNO-ART;Necartonata;2009;null;240 x 170 mm;TEA978-973-1842-61-5
2009;10;Despre mamifere si pasari domestice. Culegere de texte literare - Dosa Daniela;0;0;8;Atlase, enciclopedii copii;Dosa Daniela;TEHNO-ART;Necartonata;2009;null;240 x 170 mm;TEA978-973-1842-62-2
2009;11;Coloram alfabetul. Privim si coloram;0;0;6.5;Carti de colorat;Autor Anonim;PEGAS;Necartonata;2009;18;240 x 165 x 2 mm;PEG978-997-580-265-9
2009;11;Coloram animale salbatice. Privim si coloram;0;0;4.95;Carti de colorat;Autor Anonim;PEGAS;Necartonata;2009;18;240 x 165 x 2 mm;PEG978-9975-80-276-5
2009;11;Coloram cifrele. Privim si coloram;0;0;5.95;Carti de colorat;Autor Anonim;PEGAS;Necartonata;2009;18;240 x 165 x 2 mm;PEG978-9975-80-278-9
2009;11;Ursul pacalit de vulpe - Carte de colorat;0;0;9.95;Practic Pentru Copii;null;EUROBOOKIDS;Necartonata;2009;16;300 x 210 x 2 mm;EBO978-606-92234-4-4
2009;11;Aventurile baronului Munchhausen - Gottfried August Burger;0;0;25.6;Literatura Universala;Gottfried August Burger;HUMANITAS;Necartonata;2022;160;240 x 170 x 12 mm;HUM978-973-50-7690-0
2009;11;Modele care ma inconjoara;0;0;7.223;Carte Prescolara, Joc, Practic Pentru Copii;null;ARAMIS;Necartonata;2009;12;240 x 240 x 2 mm;ARA973-679-728-6
2009;11;Punguta cu doi bani - Ion Creanga;5;3;17.91;Literatura Romana;Ion Creanga;ALL;Necartonata;2014;32;220 x 220 mm;GAC978-606-8578-13-2
2009;11;100 de probleme in versuri cu Doxi, Alfi si Marteka - Florica Dobre, Catalina Dobre;0;0;8.99;Culegeri Auxiliare;Florica Dobre;CD PRESS;Necartonata;2009;56;235 x 165 x 4 mm;CDP978-606-528-013-7
2009;11;Matematica la minut - Roka Sandor;0;0;9.63;Culegeri Auxiliare;Roka Sandor;DIDACTICA SI PEDAGOGICA;Necartonata;2009;160;205 x 150 x 9 mm;EDP973-30-2410-1
2009;11;Punguta cu doi bani. Citim si coloram;5;1;6.5;Carti de colorat, Literatura Romana, Practic Pentru Copii;Autor Anonim;EDUARD;Necartonata;2009;16;300 x 210 mm;EDU973-1820-75-0
2009;11;Fabule alese;5;2;10.23;Literatura Romana, Fabule;null;ANDREAS;Necartonata;2015;144;200 x 130 mm;ADR973-8958-35-7
2009;11;Coloram, ne amuzam si raspunsul il aflam. La plaja;4;1;7.492;Carti de colorat;null;ARAMIS;Necartonata;2009;16;280 x 220 x 2 mm;ARA973-679-686-9
2009;11;Confectioneaza-ti jucarii! Vapor, locomotiva;3;1;7.492;Carti cu activitati;null;ARAMIS;Necartonata;2009;12;280 x 275 x 3 mm;ARA973-679-729-3
2009;11;Cu Matizu' in Franta - Radu Neleeanu;0;0;18.04;Literatura contemporana;Radu Neleeanu;SIGMA;Necartonata;2009;320;180x1\00;SIG978-973-649-554-0
2009;11;Calatorii eco - Alastair Fuad-Luke;4;1;48.07;Enciclopedii;Alastair Fuad Luke;VELLANT;null;2009;352;210 x 160 mm;VEL973-88759-1-3
2009;11;Blanche-Neige et les sept nains - Catherine E. White, Mareva Escoussans;0;0;31;Carti copii in limbi straine;Catherine E. White, Mareva Escoussans;CIDEB;Necartonata;2009;32;240 x 170 x 2 mm;EEE978-88-530-0916-6
2009;11;American Cities Step 3 + CD - Gina D. B. Clemen;0;0;58;Engleza;Gina D. B. Clemen;BLACK CAT;Necartonata;2009;112;210 x 150 x 5 mm;EEE978-88-530-0996-8
2009;11;Jugend ohne Gott - Odon von Horvath;0;0;58;Germana;Odon Von Horvath;CIDEB;Necartonata;2009;96;210 x 150 x 5 mm;EEE978-88-530-0980-7
2009;11;The House of the Seven Gables + CD - Nathaniel Hawthorne;0;0;59;Engleza;Nathaniel Hawthorne;BLACK CAT;Necartonata;2009;112;210 x 150 x 6 mm;EEE978-88-530-0464-2
2009;11;Vinul tanar - Marilena Tutila;0;0;18.9;Literatura Romana;Marilena Tutila;CHARMIDES;Necartonata;2009;176;205 x 145 x 10 mm;CMI973-76593-34-7
2009;11;Le sud-ouest vu par Leon Mazzella;0;0;38.54;Beletristica Limbi Straine;null;null;null;2009;317;240 x 200 mm;FRA2-75560-442-9
2009;11;Drumul regasirilor - Valeriu Cimpeanu;0;0;19.27;Literatura contemporana;Valeriu Cimpeanu;SCRISUL ROMANESC;null;2009;190;200 x 130 cm;SCR973-9119-38-7
2009;11;Economie Si Gestiune In Turism - Gabriela Stanciulescu, Cristina Micu;0;0;75.905;Turism Mediu;Gabriela Stanciulescu, Cristina Micu;C.H. BECK;null;2009;504;null;ABE978-973-115-487-9
2009;11;Grivei in lupta cu gorgona - Daniel Brasoveanu;0;0;12.474;Literatura Universala;Daniel Brasoveanu;DO-MINO;null;2009;78;14x20 cm;DOM978-606-92153-2-6
2009;11;Umbletul cuvintelor - Prozatori Turdeni;0;0;22.16;Literatura contemporana;null;LIMES;null;2009;256;210 x 150 mm;LIM973-726-378-0
2009;11;Primele sentimente de dragoste - Anne Vaisman;0;0;47.2;Educatie Psihologie;Anne Vaisman;CARTIER;null;2009;108;200 x 135 mm;COD975-79-569-2
2009;11;Povesti pentru Gabriella - Stefan Doru Dancus;0;0;15;Literatura contemporana;Stefan Doru Dancus;LIMES;Necartonata;2009;184;210 x 150 mm;LIM973-726-415-2
2009;11;La curte - Ady Ross;0;0;16.38;Literatura contemporana;Ady Ross;DACIA;null;2009;null;210 x 150 mm;DAC973-35-2461-8
2009;11;Searching for Cioran - Ilinca Zarifopol-Johnston;0;0;152.2;Memorii Jurnal;Ilinca Zarifopol-Johnston;ALMA ARTEX;null;2009;284;230 x 150 mm;ALA978-0-253-35267-5
2010;1;Spitalul, Coranul, Talmudul, Cahalul, Francmasoneria - Nicolae C. Paulescu;4.6;25 de;25;Memorii Jurnal;Nicolae C. Paulescu;VICOVIA;Necartonata;2010;206;210 x 150 mm;VIC978-973-7888-21-1
2010;1;Enigma Otiliei - George Calinescu;4.7;10;24.65;Literatura Romana, Literatura clasica;George Calinescu;HERRA;Necartonata;2010;480;200 x 130 mm;HRR973-7923-06-5
2010;1;Poti sa-ti vindeci viata - Louise L. Hay;4.8;24 de;45;Terapii Alternative;Louise L. Hay;ADEVAR DIVIN;Necartonata;2010;312;200 x 130 x 14 mm;ADD973-8080-23-9
2010;1;Republica - Platon;5;4;38.7;Filosofie Universala;Platon;ANTET REVOLUTION;Necartonata;2010;336;200 x 130 mm;ANT978-973-636-439-6
2010;1;Capitan la 15 ani - Jules Verne;5;4;13.95;Literatura Universala;Jules Verne;REGIS;Necartonata;2010;256;200 x 130 mm;REG973-8559-39-1
2010;1;Al treisprezecelea trib: Khazarii - Mircea Georgescu;3.8;6;26.6;Istorie Universala;Mircea Georgescu;ANTET REVOLUTION;Necartonata;2010;144;200 x 130 mm;ANT973-636-425-9
2010;1;Dialoguri - Platon;5;5;27.55;Filosofie Universala;Platon;ANTET REVOLUTION;Necartonata;2010;160;200 x 130 mm;ANT973-636-426-6
2010;1;Suferintele Mamei Blondina, o martira a Siberiei;5;3;10;Carte Ortodoxa;null;SUPERGRAPH;Necartonata;2010;168;200 x 130 x 12 mm;SUP973-00000-006
2010;1;Elixirul numit iubire - Ramtha;5;3;50;Dezvoltare Spirituala;Ramtha;MMS;Necartonata;2010;223;230 x 150 mm;MMS973-92384-1-7
2010;1;Dincolo de bine si de rau - Friedrich Nietzsche;0;0;45;Filosofie Universala;Friedrich Nietzsche;HUMANITAS;Necartonata;2023;248;200 x 130 x 22 mm;HUM978-973-50-8182-1
2010;1;Teste de 10 minute - Clasa 3;4.7;3;14;Culegeri Auxiliare;null;GAMA;Necartonata;2010;80;230 x 170 x 4 mm;GAM973-92668-8-5
2010;1;Poveste de Craciun - Charles Dickens;4.9;265 de;28.8;Literatura Universala;Charles Dickens;EDITURA CREATOR;Necartonata;2023;160;200 x 130 mm;LIB978-606-029-723-9
2010;1;Manual de Vioara Vol. 2 - Geanta Manoliu;0;0;40;Desen Muzica Film Teatru;Geanta Manoliu;GRAFOART;null;2010;314;null;GRF978-973-9054-31-7
2010;1;Teste de 10 minute - Clasa 2;5;1;14;Culegeri Auxiliare;null;GAMA;Necartonata;2010;64;230 x 165 x 4 mm;GAM973-92668-7-8
2010;1;Povesti romanesti + 2 CD-uri;5;2;47.2;Carti educative;Autor Anonim;GAMA;Cartonata;2010;58;230 x 230 mm;GAM973-149-190-5
2010;1;Pentru baieti. Ce se intampla cu mine? - Alex Frith;3.4;5;36.1;Sfaturi Practice;Alex Frith;CURTEA VECHE;Necartonata;2010;48;230 x 150 x 4 mm;CVE973-588-058-0
2010;1;Irational in mod previzibil - Dan Ariely;0;0;65;Dezvoltare Profesionala;Dan Ariely;PUBLICA;Necartonata;2010;424;205 x 145 mm;PUB973-1931-37-1
2010;1;Apologia lui Socrate - Xenofon;5;3;25.65;Filosofie Universala;Xenofon;ANTET REVOLUTION;Necartonata;2010;168;200 x 130 mm;ANT973-636-432-7
2010;1;Secretul. Invataturi Zilnice - Rhonda Byrne;4.3;3;75;Dezvoltare Spirituala;Rhonda Byrne;ADEVAR DIVIN;Cartonata;2010;368;150 x 110 mm;ADD973-8080-19-2
2010;1;Experimentul intentie - Lynne Mctaggart;5;4;50;Dezvoltare Spirituala;Lynne Mctaggart;ADEVAR DIVIN;null;2010;344;null;ADD973-8080-17-8
2010;1;Diavolul este politic corect - Savatie Bastovoi;4.6;8;30;Literatura Romana;Savatie Bastovoi;CATHISMA;null;2010;192;200x110 mm;CAH973-88443-7-7
2010;1;Camasa lui Cristos - Lloyd C. Douglas;4.9;10;46.55;Spiritualitate, Literatura Universala;Lloyd C. Douglas;CASA CARTII;Necartonata;2010;624;210 x 140 mm;CCA978-606-8282-02-2
2010;1;Pot face acest lucru - Louise L. Hay;5;1;39;Dezvoltare Spirituala;Louise L. Hay;ADEVAR DIVIN;Necartonata;2010;110;165 x 145 mm;ADD973-8080-16-1
2010;1;Istoria Imperiului Bizantin - A.a. Vasiliev;5;12;132.05;Istorie Universala;A.A. Vasiliev;POLIROM;Cartonata;2010;800;240 x 160 mm;POL978-973-46-0791-4
2010;1;Consiliere si orientare. Ghid de educatie pentru cariera - Gabriela Lemeni, Mircea Miclea;0;0;50;Pedagogie Metodica;Mircea Miclea, Gabriela Lemeni;ASOCIATIA DE STIINTE COGNITIVE DIN ROMANIA;Necartonata;2010;250;300 x 210 mm;ASR973-7973-90-0
2010;1;Arta hipnozei - C. Roy Hunter;5;2;33.25;Paranormal;C. Roy Hunter;ANTET REVOLUTION;Necartonata;2010;232;200 x 130 mm;ANT973-636-420-4
2010;1;Ultimul vals al tiranilor - Ramtha;5;1;35;Dezvoltare Spirituala;Ramtha;MMS;Necartonata;2010;182;230 x 150 mm;MMS973-92384-2-4
2010;1;Arta romanica;5;2;28.5;Arta;null;AQUILA;null;2010;196;285 x 235 mm;AQU973-714-441-6
2010;1;Cheile Secretului - Daniel Sevigny;0;0;35;Dezvoltare Spirituala;Daniel Sevigny;NICOL;Necartonata;2010;184;240 x 170 mm;NIO973-7664-89-1
2010;1;Instalatii electrice pas cu pas - Josef Kunc;2.6;5;42.75;Bricolaj;Josef Kunc;CASA;Necartonata;2010;96;235 x 165 mm;CAS973-92349-7-6
2010;1;Atlas de anatomie scolar;0;0;23.703;Culegeri Auxiliare;Vlad Violeta;STEAUA NORDULUI;Necartonata;2010;80;120 x 70 mm;SNO978-606-511-412-8
2010;1;Dictionar roman-englez, englez-roman - Laura-Veronica Cotoaga;5;1;27.435;Engleza;Laura-Veronica Cotoaga;REGIS;Necartonata;2012;576;200 x 130 x 24 mm;REG978-606-8487-25-0
2010;1;Minca-v-ar raiul I - Cleopa;5;8;12;Carte Ortodoxa;Cleopa Ilie;MANASTIREA SIHASTRIA;Necartonata;2010;208;200 x 130 x 14 mm;SIH973-87020-0-3*
2010;1;Eseu despre liberul arbitru - Arthur Schopenhauer;5;4;17.1;Filosofie Universala;Arthur Schopenhauer;ANTET REVOLUTION;Necartonata;2010;112;200 x 130 mm;ANT973-636-417-4
2010;1;Proloagele de la Ohrida. Vol. I. Ianuarie-Iunie - Nicoale Velimirovici;0;0;65;Carte Ortodoxa;Nicolae Velimirovici;EGUMENITA;Necartonata;2010;816;240 x 170 x 35 mm;EGU978-606-550-000-6
2010;1;Balada unui greier mic - George Toparceanu;0;0;10;Literatura Romana;George Toparceanu;ASTRO;Necartonata;2010;192;200 x 130 x 9 mm;ATR978-606-92310-4-3
2010;1;Arta de a fi fericit - Arthur Schopenhauer;0;0;22;Filosofie Universala;Arthur Schopenhauer;CARTEX;Necartonata;2024;176;200 x 130 x 10 mm;CAR978-606-9604-77-9
2010;1;Teste de 10 minute - Clasa 1 - Grigore Ciobotaru;4;1;14;Culegeri Auxiliare;Grigore Ciobotaru;GAMA;Necartonata;2010;64;230 x 165 x 5 mm;GAM973-92668-6-1
2010;1;Consiliere si Orientare. Activitati pentru clasele 1-4 - Gabriela Lemeni, Loredana Mihalca;5;1;42;Pedagogie Metodica;Gabriela Lemeni, Loredana Mihalca, Codruta;ASOCIATIA DE STIINTE COGNITIVE DIN ROMANIA;Necartonata;2010;100;300 x 210 mm;ASR973-7973-91-7
2010;1;Ben-Hur - Lewis Wallace;5;1;52.25;Romane mitologice si istorice, Romane istorice;Lewis Wallace;CASA CARTII;Necartonata;2010;608;205X135;CCA978-606-8998-97-1
2010;2;In casa bunicilor - Ionel Teodoreanu;5;5;24.99;Literatura Romana;Ionel Teodoreanu;ROLCRIS;Necartonata;2024;80;200 x 130 x 5 mm;RLC978-630-6538-10-2
2010;2;Psihologie educationala - Viorel Mih;0;0;69;Pedagogie Metodica;Viorel Mih;ASOCIATIA DE STIINTE COGNITIVE DIN ROMANIA;null;2010;591;240X165;ASR973-7973-00-1
2010;2;Feng Shui. Armonia casei genereaza noroc si prosperitate - Robert Hasinger;3;1;19.95;Sfaturi Practice;Robert Hasinger;ANTET REVOLUTION;Necartonata;2010;152;200 x 130 mm;ANT978-973-636-424-2
2010;2;Cum sa fii fericit - Sonja Lyubomirsky;4;1;46.55;Sfaturi Practice, Psihologie Practica, Accepta-te, iubeste-te;Sonja Lyubomirsky;AMSTA PUBLISHING;Necartonata;2010;408;205 x 135 x 24 mm;AMS973-92057-6-1
2010;2;Coliba unchiului Tom - Harriet Beecher Stowe;5;2;43.7;Literatura clasica, Literatura americana;Harriet Beecher Stowe;CASA CARTII;Necartonata;2010;496;205X135;CCA978-606-8998-99-5
2010;2;Poeme - Valeriu Anania;5;2;47.453;Poezie;Valeriu Anania;POLIROM;Cartonata;2010;304;235 x 160 x 18;POL978-973-46-1598-8
2010;2;Manca-v-ar Raiul II - Cleopa;5;6;12;Carte Ortodoxa;Cleopa Ilie;MANASTIREA SIHASTRIA;Necartonata;2010;200;200 x 130 mm;SIH973-87020-1-1
2010;2;Ne vorbeste Parintele Cleopa 17;0;0;12;Carte Ortodoxa;null;MANASTIREA SIHASTRIA;null;2010;144;200 x 130 mm;SIH973-8217-01-7
2010;2;Teste de 10 minute. Clasa 4;0;0;14;Culegeri Auxiliare;null;GAMA;Necartonata;2010;80;230 x 165 x 6 mm;GAM973-92668-9-2
2010;2;Dreptatea lui Dumnezeu si dreptatea oamenilor - Constantin Coman;0;0;50;Carte Ortodoxa;Constantin Coman;BIZANTINA;null;2010;414;210 x 150 mm;BIZ973-8112-05-3
2010;2;Peter Pan in gradinile Kensington - James Matthew Barrie;5;1;17.1;Literatura Universala;James Matthew Barrie;GRAMAR;Necartonata;2010;104;200 x 150 mm;GRA973-1973-28-9
2010;2;Proloagele de la Ohrida. Vol. II. Iulie-Decembrie - Sfantul Nicolae Velimirovici;5;2;65;Carte Ortodoxa;Nicolae Velimirovici;EGUMENITA;null;2010;882;240 x 170 x 35 mm;EGU973-7952-84-7
